Diameter (km), Depth (km)
4.372230, 0.565553
4.230428, 0.473008
9.500739, 1.542416
8.720827, 1.264781
10.800591, 1.655527
7.751846, 0.987147
9.713442, 0.730077
5.199409, 0.575835
9.831610, 1.809769
9.406204, 1.624679
13.494830, 2.210797
5.483013, 0.863753
6.664697, 0.719794
11.769572, 1.388175
4.821270, 0.709512
5.152142, 0.565553
14.983752, 3.012853
14.983752, 3.012853
11.367799, 2.190231
9.264402, 1.388175
12.478582, 2.025707
4.466765, 0.740360
14.440177, 2.961440
15.550960, 2.529563
6.546529, 1.079692
4.017725, 0.555270
5.412112, 0.750643
10.611521, 0.668380
11.911374, 2.077121
15.574594, 2.539846
5.530281, 0.843188
12.525849, 2.251928
5.246677, 0.750643
6.688331, 0.771208
6.782866, 1.038560
7.113737, 0.514139
6.546529, 0.935733
12.667651, 2.025707
6.924668, 1.028278
4.537666, 0.164524
4.561300, 0.401028
8.957164, 0.966581
5.672083, 0.627249
5.128508, 0.740360
4.230428, 0.688946
6.262925, 1.089974
4.892171, 0.719794
4.230428, 0.740360
6.475628, 1.059126
14.298375, 2.077121
7.562777, 0.709512
5.483013, 0.473008
7.397341, 0.514139
4.490399, 0.647815
8.791728, 0.678663
13.353028, 2.005141
4.584934, 0.534704
4.041359, 0.452442
7.728213, 1.254499
9.737075, 1.172237
12.407681, 1.922879
14.392910, 2.395887
10.847858, 1.604113
6.735598, 0.904884
5.695716, 0.791774
15.432792, 0.185090
6.286558, 1.007712
7.161004, 1.295630
16.307238, 2.087404
7.775480, 1.233933
11.013294, 1.305913
7.255539, 0.647815
6.026588, 1.151671
4.915805, 0.781491
13.542097, 0.904884
10.824225, 1.881748
5.884786, 0.514139
8.271787, 0.771208
5.932053, 0.874036
13.849335, 2.467866
4.963072, 0.750643
4.277696, 0.514139
4.986706, 0.616967
14.511078, 2.354756
14.180207, 2.282776
15.196455, 2.066838
14.865583, 0.956298
8.153619, 1.305913
7.940916, 1.244216
4.443131, 0.668380
10.304284, 1.388175
7.350074, 0.915167
4.017725, 0.586118
4.206795, 0.740360
5.766617, 1.213368
7.184638, 1.182519
7.420975, 1.172237
9.169867, 1.377892
6.546529, 1.059126
8.933530, 1.624679
10.138848, 1.778920
14.038405, 0.843188
4.726736, 0.616967
8.602659, 1.285347
11.084195, 1.357326
12.218612, 1.778920
4.443131, 0.637532
5.506647, 0.812339
6.499261, 1.038560
4.466765, 0.812339
6.050222, 0.853470
6.310192, 0.771208
10.753323, 1.182519
13.683900, 1.696658
5.672083, 0.534704
7.279173, 1.275064
12.974889, 1.429306
5.506647, 0.894602
8.366322, 0.514139
10.375185, 1.254499
6.073855, 0.915167
6.357459, 1.069409
5.861152, 0.503856
15.550960, 2.591260
4.277696, 0.586118
6.735598, 0.719794
9.760709, 1.532134
4.135894, 0.616967
15.598227, 2.210797
10.706056, 0.565553
14.487445, 1.799486
9.642541, 0.380463
9.477105, 1.213368
4.632201, 0.647815
7.562777, 0.709512
4.206795, 0.483290
7.184638, 0.884319
5.884786, 0.904884
4.466765, 0.596401
4.655835, 0.575835
5.601182, 0.483290
8.768095, 0.524422
6.593796, 1.059126
11.320532, 2.005141
14.369276, 2.169666
8.366322, 1.182519
10.729690, 1.408740
7.633678, 1.285347
4.183161, 0.575835
5.175775, 0.668380
10.776957, 1.295630
13.778434, 1.511568
13.329394, 2.375321
14.227474, 2.868895
16.047267, 2.611825
8.933530, 0.853470
6.333826, 0.688946
5.175775, 0.730077
7.893648, 1.419023
15.763663, 2.858612
5.884786, 0.730077
5.790251, 0.987147
12.620384, 1.850900
11.651403, 1.902314
5.979321, 1.254499
5.955687, 0.925450
7.775480, 1.398458
5.601182, 0.431877
5.483013, 0.473008
9.264402, 0.935733
5.553914, 0.843188
5.341211, 0.946015
5.695716, 0.606684
4.490399, 0.709512
6.002954, 0.771208
13.731167, 2.118252
4.112260, 0.473008
5.199409, 0.668380
5.341211, 0.760925
8.177253, 1.419023
7.302806, 0.616967
8.413589, 0.863753
12.005908, 2.467866
9.807976, 1.809769
7.751846, 0.987147
4.324963, 0.534704
10.942393, 1.562982
7.184638, 0.874036
15.645495, 3.023136
4.584934, 0.627249
5.104874, 0.730077
4.135894, 0.462725
8.224520, 0.904884
11.438700, 2.169666
6.026588, 0.915167
4.797637, 0.730077
6.002954, 1.007712
12.147710, 1.778920
6.026588, 0.678663
4.679468, 0.586118
8.649926, 0.678663
7.586411, 0.606684
5.979321, 0.863753
15.314623, 1.419023
6.357459, 1.069409
6.901034, 0.915167
5.199409, 0.781491
6.050222, 0.853470
4.419498, 0.606684
12.644018, 1.275064
6.404727, 1.110540
13.258493, 2.447301
5.861152, 0.503856
14.440177, 2.601542
4.537666, 0.730077
5.932053, 0.616967
10.138848, 1.778920
10.327917, 1.964010
4.443131, 0.678663
6.546529, 0.997429
8.106352, 1.429306
10.280650, 1.377892
12.431315, 0.946015
7.822747, 1.511568
4.490399, 0.730077
15.810931, 0.308483
9.500739, 1.593830
6.381093, 0.750643
5.175775, 0.719794
8.200886, 0.586118
5.790251, 1.079692
6.097489, 0.740360
4.892171, 0.760925
5.175775, 0.719794
7.539143, 0.956298
6.688331, 0.791774
4.821270, 0.678663
4.064993, 0.596401
14.889217, 1.665810
7.255539, 0.760925
6.215657, 0.894602
4.726736, 0.730077
5.033973, 0.514139
12.880355, 2.457584
7.184638, 0.904884
6.451994, 0.832905
4.490399, 0.658098
4.561300, 0.740360
9.477105, 1.419023
9.831610, 1.470437
6.357459, 0.904884
4.584934, 0.966581
9.193501, 1.552699
4.514032, 0.719794
11.722304, 1.429306
5.813885, 1.007712
9.240768, 1.377892
4.750369, 0.514139
13.683900, 1.840617
10.611521, 0.473008
11.911374, 1.305913
5.553914, 0.473008
7.042836, 1.233933
6.050222, 1.017995
12.431315, 0.946015
11.060561, 2.221080
4.892171, 0.740360
5.955687, 0.431877
12.974889, 2.365039
8.295421, 1.295630
13.991137, 2.159383
9.500739, 1.408740
7.751846, 0.287918
13.896603, 2.395887
6.475628, 0.925450
6.050222, 0.935733
5.624815, 0.473008
5.435746, 0.349614
8.957164, 0.966581
4.372230, 0.514139
12.100443, 1.357326
7.610044, 0.750643
12.313146, 1.460154
5.128508, 0.730077
12.974889, 1.429306
10.847858, 1.511568
7.397341, 1.244216
6.428360, 0.987147
6.924668, 1.244216
4.774003, 0.575835
10.351551, 2.087404
8.319055, 1.419023
14.156573, 2.272494
4.726736, 0.781491
4.419498, 0.616967
7.680945, 0.874036
9.737075, 1.542416
4.844904, 0.760925
10.895126, 0.421594
10.587888, 1.809769
6.026588, 0.771208
9.997046, 0.678663
4.017725, 0.596401
8.342688, 1.429306
6.357459, 1.079692
10.635155, 2.097686
7.680945, 0.894602
8.319055, 0.442159
4.064993, 0.586118
4.986706, 0.771208
4.561300, 0.719794
6.262925, 0.802057
6.144756, 0.997429
5.364845, 0.802057
6.002954, 0.966581
11.982275, 1.203085
4.537666, 0.658098
7.539143, 1.017995
7.562777, 0.946015
10.020679, 1.789203
12.407681, 1.943445
4.797637, 0.586118
6.830133, 0.616967
12.454948, 1.182519
13.991137, 2.149100
5.483013, 0.812339
11.793205, 1.902314
10.351551, 1.871465
5.837518, 0.596401
9.288035, 0.966581
7.846381, 1.079692
5.104874, 0.555270
11.273264, 1.634961
10.800591, 1.357326
7.184638, 0.863753
4.915805, 0.544987
7.799114, 0.976864
6.286558, 0.802057
4.324963, 0.719794
6.782866, 1.007712
6.499261, 1.059126
5.719350, 0.946015
5.435746, 0.339332
4.348597, 0.658098
4.112260, 0.627249
7.822747, 0.719794
7.846381, 1.110540
10.186115, 1.789203
5.553914, 0.575835
10.847858, 1.521851
12.809453, 0.493573
4.183161, 0.555270
4.254062, 0.709512
10.351551, 1.254499
5.010340, 0.771208
13.802068, 2.200514
6.121123, 0.976864
12.573117, 2.262211
6.735598, 1.161954
5.341211, 0.832905
12.525849, 2.251928
5.695716, 0.524422
8.224520, 0.915167
7.113737, 1.182519
14.912851, 1.069409
5.081241, 0.658098
5.577548, 0.802057
5.908419, 0.956298
5.506647, 0.853470
4.159527, 0.483290
9.500739, 1.203085
5.199409, 0.586118
12.194978, 1.305913
9.122600, 0.874036
6.428360, 0.802057
7.799114, 1.264781
8.200886, 0.760925
7.964549, 0.894602
8.271787, 1.398458
9.098966, 1.285347
7.846381, 1.079692
4.514032, 0.730077
5.979321, 0.431877
4.679468, 0.791774
5.388479, 0.771208
11.935007, 2.169666
5.955687, 0.493573
8.319055, 1.059126
9.429838, 1.634961
12.691285, 1.737789
10.729690, 1.552699
5.506647, 0.853470
5.317578, 0.832905
12.785820, 0.493573
13.305761, 2.097686
7.491876, 1.213368
8.059084, 1.048843
13.683900, 2.241645
5.412112, 0.781491
